"Contract ","Sales Order","Created Date","Product: Product Name","Quantity Ordered","Customer ","Product: Metal: Metal Name","Product: Product Code"
"CON-59974","SO-33768","5/16/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","50.000000","Johnny's Coins & Collectibles","Gold","G10YAUSM"
"CON-56977","SO-32008","2/7/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","63.000000","River City Pawn and Gun, LLC","Gold","G10YAUSM"
"CON-56575","SO-31793","1/19/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","50.000000","American Gold & Diamond Exchange","Gold","G10YAUSM"
"CON-57987","SO-32571","3/15/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","50.000000","Johnny's Coins & Collectibles","Gold","G10YAUSM"
"CON-57803","SO-32456","3/13/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","50.000000","The Jewelry Doctor","Gold","G10YAUSM"
"CON-56612","SO-31814","1/21/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","332.000000","River City Pawn and Gun, LLC","Gold","G10YAUSM"
"CON-61435","SO-34412","7/14/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","100.000000","Precious Metals Refinery, LLC","Gold","G10YAUSM"
"CON-57930","SO-32535","3/15/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","150.000000","Johnny's Coins & Collectibles","Gold","G10YAUSM"
"CON-63079","SO-35135","9/7/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","20.000000","Mike Camardo Bullion and Coin","Gold","G10YAUSM"
"CON-57817","SO-32474","3/13/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","50.000000","River City Pawn and Gun, LLC","Gold","G10YAUSM"
"CON-56706","SO-31853","1/24/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","55.000000","River City Pawn and Gun, LLC","Gold","G10YAUSM"
"CON-57393","SO-32226","2/24/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","170.000000","Johnny's Coins & Collectibles","Gold","G10YAUSM"
"CON-56829","SO-31905","1/30/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","10.000000","McKee Coins Inc.","Gold","G10YAUSM"
"CON-56012","SO-31542","1/5/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","20.000000","Ohio Trading Inc. DBA Ohio Trading Coin & Jewelry","Gold","G10YAUSM"
"CON-57949","SO-32558","3/15/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","57.000000","Magic Valley Gold Buyers","Gold","G10YAUSM"
"CON-58055","SO-32621","3/16/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","500.000000","River City Pawn and Gun, LLC","Gold","G10YAUSM"
"CON-58077","SO-32635","3/17/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","270.000000","Johnny's Coins & Collectibles","Gold","G10YAUSM"
"CON-58110","SO-32654","3/17/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","42.000000","River City Pawn and Gun, LLC","Gold","G10YAUSM"
"CON-58115","SO-32659","3/17/2023","Gold 1997 10 Yuan 1/10 oz Auspicious Matters","10.000000","River City Pawn and Gun, LLC","Gold","G10YAUSM"
"CON-59519","SO-33532","5/1/2023","Gold 2015-W 1 oz American Liberty High Relief","6.000000","360 Coin Group DBA South Austin Coin Exchange","Gold","G15WAMLIBHR"
"CON-59235","SO-33368","4/20/2023","Gold 1 Ducat","19.000000","Ohio Trading Inc. DBA Ohio Trading Coin & Jewelry","Gold","G1DUC"
"CON-59598","SO-33582","5/3/2023","Gold 1 Ducat","3.000000","Ohio Trading Inc. DBA Ohio Trading Coin & Jewelry","Gold","G1DUC"
"CON-62161","SO-34710","8/4/2023","Gold 1 Ducat","1.000000","Precious Metal Sales, Inc.","Gold","G1DUC"
"CON-56176","SO-31621","1/12/2023","Gold 1 Ducat","15.000000","Upstate Coins","Gold","G1DUC"
"CON-59753","SO-33653","5/9/2023","Gold 2008 Buffalo Proof Set Complete 1.85 oz","1.000000","360 Coin Group DBA South Austin Coin Exchange","Gold","G2008BUFFPFC1.85"
"CON-59753","SO-33653","5/9/2023","Gold 2014-W JFK Gold Half Dollar Proof","2.000000","360 Coin Group DBA South Austin Coin Exchange","Gold","G2014WJFKPF"
"CON-62648","SO-34943","8/22/2023","Gold 2014-W JFK Gold Half Dollar Proof","1.000000","360 Coin Group DBA South Austin Coin Exchange","Gold","G2014WJFKPF"
"CON-56176","SO-31621","1/12/2023","Gold 2014-W JFK Gold Half Dollar Proof","1.000000","Upstate Coins","Gold","G2014WJFKPF"
"CON-56176","SO-31621","1/12/2023","Gold 2014-W JFK Gold Half Dollar Proof","1.000000","Upstate Coins","Gold","G2014WJFKPF"
"CON-63418","SO-35276","9/19/2023","Gold 2014-W JFK Gold Half Dollar Proof","2.000000","360 Coin Group DBA South Austin Coin Exchange","Gold","G2014WJFKPF"
"CON-59211","SO-33354","4/19/2023","Gold 20 Franc Angel","14.000000","Capstone Acquisitions","Gold","G20FA"
"CON-56214","SO-31638","1/13/2023","Gold 20 Franc Angel","51.000000","Dillon Gage Inc. of Dallas","Gold","G20FA"
"CON-59211","SO-33354","4/19/2023","Gold 20 Franc Mixed Types","15.000000","Capstone Acquisitions","Gold","G20FMIX"
"CON-58718","SO-33045","4/4/2023","Gold 20 Franc Mixed Types","150.000000","Capstone Acquisitions","Gold","G20FMIX"
"CON-58722","SO-33046","4/4/2023","Gold 20 Franc Mixed Types","45.000000","Capstone Acquisitions","Gold","G20FMIX"
"CON-59211","SO-33354","4/19/2023","Gold 20 Franc Napoleon","9.000000","Capstone Acquisitions","Gold","G20FN"
"CON-59211","SO-33354","4/19/2023","Gold 20 Franc Rooster","10.000000","Capstone Acquisitions","Gold","G20FR"
"CON-57624","SO-32334","3/6/2023","Gold 20 Franc Rooster","22.000000","Money Metals Exchange LLC","Gold","G20FR"
"CON-57470","SO-32273","2/28/2023","Gold 20 Franc Rooster","6.000000","The Bronze Look, LLC","Gold","G20FR"
"CON-56585","SO-31797","1/20/2023","Gold 20 Franc Rooster","5.000000","Gold Rush Mercantile & Trading","Gold","G20FR"
"CON-56113","SO-31589","1/10/2023","Gold 20 Franc Rooster","1.000000","Duff's Fine Jewelry - Flower Mound","Gold","G20FR"
"CON-57744","SO-32417","3/10/2023","Gold 20 Franc Rooster","22.000000","Money Metals Exchange LLC","Gold","G20FR"
"CON-57613","SO-32329","3/6/2023","Gold 20 Franc Suisse","168.000000","NCII","Gold","G20FS"
"CON-58161","SO-32691","3/20/2023","Gold 20 Franc Suisse","50.000000","Capstone Acquisitions","Gold","G20FS"
"CON-61783","SO-34548","7/28/2023","Gold 20 Franc Suisse","80.000000","NCII","Gold","G20FS"
"CON-59058","SO-33265","4/13/2023","Gold 20 Franc Suisse","30.000000","Capstone Acquisitions","Gold","G20FS"
"CON-58804","SO-33094","4/5/2023","Gold 20 Franc Suisse","15.000000","Capstone Acquisitions","Gold","G20FS"
"CON-59275","SO-33396","4/21/2023","Gold 20 Franc Suisse","40.000000","Capstone Acquisitions","Gold","G20FS"
"CON-55990","SO-31532","1/4/2023","Gold 20 Franc Suisse","35.000000","Capstone Acquisitions","Gold","G20FS"
"CON-61020","SO-34249","6/29/2023","Gold 20 Franc Suisse","167.000000","Dillon Gage Inc. of Dallas","Gold","G20FS"
"CON-56487","SO-31749","1/17/2023","Gold 20 Franc Suisse","93.000000","Dillon Gage Inc. of Dallas","Gold","G20FS"
"CON-62185","SO-34720","8/7/2023","Gold 4 Ducat","15.000000","Hyatt Coin & Gun Shop, Inc.","Gold","G4DUC"
"CON-58513","SO-32920","3/29/2023","Gold 4 Ducat","2.000000","Royal Gold & Silver Exchange","Gold","G4DUC"
"CON-62161","SO-34710","8/4/2023","Gold 4 Ducat","4.000000","Precious Metal Sales, Inc.","Gold","G4DUC"
"CON-62927","SO-35058","8/30/2023","Gold $5 Gold Modern Commem.","57.000000","Dillon Gage Inc. of Dallas","Gold","G5MC"
"CON-61120","SO-34284","7/6/2023","Gold $5 Gold Modern Commem.","19.000000","Dillon Gage Inc. of Dallas","Gold","G5MC"
"CON-60064","SO-33820","5/18/2023","Gold $5 Gold Modern Commem.","30.000000","Bayside Metal Exchange","Gold","G5MC"
"CON-57167","SO-32110","2/15/2023","Gold $5 Gold Modern Commem.","53.000000","Dillon Gage Inc. of Dallas","Gold","G5MC"
"CON-56208","SO-31635","1/13/2023","Gold $5 Gold Modern Commem.","3.000000","Vallejo Coin Exchange","Gold","G5MC"
"CON-61498","SO-34438","7/17/2023","Gold $5 Gold Modern Commem.","8.000000","Dillon Gage Inc. of Dallas","Gold","G5MC"
"CON-57877","SO-32526","3/15/2023","Gold $5 Gold Modern Commem.","9.000000","Northeast Arkansas Coin Co.","Gold","G5MC"
"CON-56029","SO-31558","1/5/2023","Gold $5 Gold Modern Commem.","17.000000","Upstate Coins","Gold","G5MC"
"CON-59161","SO-33325","4/17/2023","Gold Russian 5 Rouble","1.000000","Portland Mint","Gold","G5ROUB"
"CON-63087","SO-35139","9/7/2023","Gold Australian .25 oz Striped Marlin","4.000000","Williams Coin Stamp & Bullion","Gold","GAUS.25STRIPEDMARLIN"
"CON-56013","SO-31551","1/5/2023","Gold Bar 1/10 oz Any Type","10.000000","ARA Gold LLC","Gold","GB.10GEN"
"CON-58498","SO-32912","3/29/2023","Gold Bar 100g Any Brand","2.000000","K.B. Zaveree","Gold","GB100G"
"CON-58739","SO-33064","4/4/2023","Gold Bar 100g Any Brand","1.000000","Dr. Gold Jewelry and Diamonds","Gold","GB100G"
"CON-58826","SO-33111","4/6/2023","Gold Bar 100g Any Brand","1.000000","Ross Jewelers","Gold","GB100G"
"CON-60579","SO-34055","6/12/2023","Gold Bar 100g Any Brand","1.000000","Tanmai Jewelers","Gold","GB100G"
"CON-58852","SO-33137","4/6/2023","Gold Bar 100g Any Brand","2.000000","K.B. Zaveree","Gold","GB100G"
"CON-59464","SO-33506","4/27/2023","Gold Bar 100g Any Brand","5.000000","Rudy's Gold & Silver","Gold","GB100G"
"CON-61090","SO-34275","7/5/2023","Gold Bar 100g Any Brand","1.000000","Rudy's Gold & Silver","Gold","GB100G"
"CON-60694","SO-34101","6/16/2023","Gold Bar 100g Any Brand","2.000000","DFW Coin And Silver, LLC dba Mike & Sam","Gold","GB100G"
"CON-55934","SO-31506","1/3/2023","Gold Bar 100g Any Brand","3.000000","K.B. Zaveree","Gold","GB100G"
"CON-58850","SO-33135","4/6/2023","Gold Bar 100g Any Brand","3.000000","Tanmai Jewelers","Gold","GB100G"
"CON-58847","SO-33132","4/6/2023","Gold Bar 100g Any Brand","10.000000","K.B. Zaveree","Gold","GB100G"
"CON-58848","SO-33133","4/6/2023","Gold Bar 100g Any Brand","10.000000","K.B. Zaveree","Gold","GB100G"
"CON-60418","SO-34001","6/2/2023","Gold Bar 100g Any Brand","2.000000","Trust Jewelry and Repair, Inc.","Gold","GB100G"
"CON-59071","SO-33273","4/14/2023","Gold Bar 100g Any Brand","3.000000","Trust Jewelry and Repair, Inc.","Gold","GB100G"
"CON-59258","SO-33384","4/20/2023","Gold Bar 100g Any Brand","1.000000","Royal Gold & Silver Exchange","Gold","GB100G"
"CON-60096","SO-33843","5/19/2023","Gold Bar 100g Any Brand","2.000000","K.B. Zaveree","Gold","GB100G"
"CON-59985","SO-33774","5/16/2023","Gold Bar 100g Any Brand","3.000000","Tanmai Jewelers","Gold","GB100G"
"CON-59383","SO-33470","4/26/2023","Gold Bar 100g Any Brand","2.000000","Trust Jewelry and Repair, Inc.","Gold","GB100G"
"CON-59972","SO-33766","5/16/2023","Gold Bar 100g Any Brand","2.000000","K.B. Zaveree","Gold","GB100G"
"CON-60134","SO-33865","5/22/2023","Gold Bar 100g Any Brand","3.000000","Ross Jewelers","Gold","GB100G"
"CON-60977","SO-34234","6/28/2023","Gold Bar 100g Any Brand","3.000000","Trust Jewelry and Repair, Inc.","Gold","GB100G"
"CON-61684","SO-34502","7/25/2023","Gold Bar 100g Any Brand","1.000000","Marichele Inc DBA Lennox Jewelers","Gold","GB100G"
"CON-58447","SO-32882","3/28/2023","Gold Bar 100g Any Brand","1.000000","Royal Gold & Silver Exchange","Gold","GB100G"
"CON-58447","SO-32882","3/28/2023","Gold Bar 100g Any Brand","2.000000","Royal Gold & Silver Exchange","Gold","GB100G"
"CON-60865","SO-34190","6/23/2023","Gold Bar 100g Any Brand","2.000000","K.B. Zaveree","Gold","GB100G"
