Date,Customer,Metal,Code,Quantity,Unit Price,Total Price
7/20/2023,Upstate Coins,Gold,2017ALHROGP,2.0,"$2,317.14","$4,634.28"
9/12/2023,Upstate Coins,Gold,2017ALHROGP,1.0,"$2,261.58","$2,261.58"
7/20/2023,Upstate Coins,Gold,2019ALHRSP70,1.0,"$2,167.00","$2,167.00"
1/11/2023,Manor Auctions LLC,Gold,G.10ANIMAL,50.0,$206.00,"$10,300.00"
1/20/2023,"The Bronze Look, LLC",Gold,G.10ANIMAL,25.0,$204.50,"$5,112.50"
1/23/2023,"The Bronze Look, LLC",Gold,G.10ANIMAL,15.0,$203.60,"$3,054.00"
2/17/2023,Manor Auctions LLC,Gold,G.10ANIMAL,25.0,$202.00,"$5,050.00"
2/23/2023,Upstate Coins,Gold,G.10ANIMAL,213.0,$191.12,"$40,708.56"
2/23/2023,Upstate Coins,Gold,G.10POLAR,45.0,$191.12,"$8,600.40"
7/6/2023,Dillon Gage Inc. of Dallas,Gold,G1000SHIL,12.0,$740.50,"$8,886.00"
1/5/2023,Upstate Coins,Gold,G100COR,4.0,"$1,782.39","$7,129.56"
2/9/2023,Dillon Gage Inc. of Dallas,Gold,G100COR,56.0,"$1,825.38","$102,221.12"
3/21/2023,Northeast Arkansas Coin Co.,Gold,G100COR,11.0,"$1,913.65","$21,050.15"
4/13/2023,Dillon Gage Inc. of Dallas,Gold,G100COR,54.0,"$2,003.00","$108,162.00"
4/21/2023,"Seraphina Fine Jewelry, Inc.",Gold,G100COR,2.0,"$1,957.51","$3,915.02"
6/23/2023,Dillon Gage Inc. of Dallas,Gold,G100COR,18.0,"$1,876.00","$33,768.00"
7/6/2023,Dillon Gage Inc. of Dallas,Gold,G100COR,9.0,"$1,868.00","$16,812.00"
7/11/2023,Dillon Gage Inc. of Dallas,Gold,G100COR,28.0,"$1,886.00","$52,808.00"
7/17/2023,Dillon Gage Inc. of Dallas,Gold,G100COR,2.0,"$1,902.30","$3,804.60"
8/1/2023,Dillon Gage Inc. of Dallas,Gold,G100COR,101.0,"$1,895.00","$191,395.00"
8/15/2023,"DFW Coin And Silver, LLC dba Mike & Sam",Gold,G100COR,10.0,"$1,870.00","$18,700.00"
8/22/2023,Dillon Gage Inc. of Dallas,Gold,G100COR,13.0,"$1,850.00","$24,050.00"
8/29/2023,Dillon Gage Inc. of Dallas,Gold,G100COR,40.0,"$1,890.00","$75,600.00"
8/30/2023,Dillon Gage Inc. of Dallas,Gold,G100COR,9.0,"$1,896.00","$17,064.00"
9/20/2023,Dillon Gage Inc. of Dallas,Gold,G100COR,31.0,"$1,885.00","$58,435.00"
1/5/2023,Upstate Coins,Gold,G10GUILD,40.0,$353.15,"$14,126.00"
1/23/2023,Dillon Gage Inc. of Dallas,Gold,G10GUILD,6.0,$375.50,"$2,253.00"
7/6/2023,Dillon Gage Inc. of Dallas,Gold,G10GUILD,14.0,$372.00,"$5,208.00"
8/22/2023,Dillon Gage Inc. of Dallas,Gold,G10GUILD,81.0,$366.50,"$29,686.50"
4/13/2023,Dillon Gage Inc. of Dallas,Gold,G10MC,41.0,"$1,003.00","$41,123.00"
6/8/2023,Dillon Gage Inc. of Dallas,Gold,G10MC,5.0,$967.11,"$4,835.55"
7/19/2023,Central Refining,Gold,G10MC,8.0,$947.81,"$7,582.48"
8/30/2023,Dillon Gage Inc. of Dallas,Gold,G10MC,6.0,$933.70,"$5,602.20"
1/5/2023,Ohio Trading Inc. DBA Ohio Trading Coin & Jewelry,Gold,G10YAUSM,20.0,$199.00,"$3,980.00"
1/19/2023,American Gold & Diamond Exchange,Gold,G10YAUSM,50.0,$207.50,"$10,375.00"
1/21/2023,"River City Pawn and Gun, LLC",Gold,G10YAUSM,332.0,$204.40,"$67,860.80"
1/24/2023,"River City Pawn and Gun, LLC",Gold,G10YAUSM,55.0,$204.40,"$11,242.00"
1/27/2023,"Alaska Bullion & Coin, LLC",Gold,G10YAUSM,30.0,$204.50,"$6,135.00"
1/30/2023,McKee Coins Inc.,Gold,G10YAUSM,10.0,$207.50,"$2,075.00"
2/7/2023,"River City Pawn and Gun, LLC",Gold,G10YAUSM,63.0,$200.00,"$12,600.00"
2/8/2023,"Alaska Bullion & Coin, LLC",Gold,G10YAUSM,30.0,$198.50,"$5,955.00"
2/24/2023,Johnny's Coins & Collectibles,Gold,G10YAUSM,170.0,$192.00,"$32,640.00"
3/13/2023,The Jewelry Doctor,Gold,G10YAUSM,50.0,$204.00,"$10,200.00"
3/13/2023,"River City Pawn and Gun, LLC",Gold,G10YAUSM,50.0,$204.00,"$10,200.00"
3/15/2023,Johnny's Coins & Collectibles,Gold,G10YAUSM,150.0,$205.75,"$30,862.50"
3/15/2023,Johnny's Coins & Collectibles,Gold,G10YAUSM,100.0,$207.00,"$20,700.00"
3/15/2023,Magic Valley Gold Buyers,Gold,G10YAUSM,57.0,$206.00,"$11,742.00"
3/15/2023,Johnny's Coins & Collectibles,Gold,G10YAUSM,50.0,$205.25,"$10,262.50"
3/16/2023,"River City Pawn and Gun, LLC",Gold,G10YAUSM,500.0,$205.00,"$102,500.00"
3/17/2023,Johnny's Coins & Collectibles,Gold,G10YAUSM,270.0,$209.95,"$56,686.50"
3/17/2023,"River City Pawn and Gun, LLC",Gold,G10YAUSM,42.0,$211.00,"$8,862.00"
3/17/2023,"River City Pawn and Gun, LLC",Gold,G10YAUSM,10.0,$211.00,"$2,110.00"
3/23/2023,Johnny's Coins & Collectibles,Gold,G10YAUSM,300.0,$214.00,"$64,200.00"
4/6/2023,Ohio Trading Inc. DBA Ohio Trading Coin & Jewelry,Gold,G10YAUSM,20.0,$216.50,"$4,330.00"
4/20/2023,Ohio Trading Inc. DBA Ohio Trading Coin & Jewelry,Gold,G10YAUSM,20.0,$214.70,"$4,294.00"
4/25/2023,Johnny's Coins & Collectibles,Gold,G10YAUSM,50.0,$213.00,"$10,650.00"
5/16/2023,Johnny's Coins & Collectibles,Gold,G10YAUSM,50.0,$212.93,"$10,646.50"
5/31/2023,Johnny's Coins & Collectibles,Gold,G10YAUSM,30.0,$210.35,"$6,310.50"
6/2/2023,"River City Pawn and Gun, LLC",Gold,G10YAUSM,80.0,$210.00,"$16,800.00"
6/6/2023,Mike Camardo Bullion and Coin,Gold,G10YAUSM,20.0,$209.98,"$4,199.60"
7/14/2023,"Precious Metals Refinery, LLC",Gold,G10YAUSM,100.0,$209.75,"$20,975.00"
8/2/2023,Santa Fe Coins and Jewelry,Gold,G10YAUSM,100.0,$207.25,"$20,725.00"
9/7/2023,Mike Camardo Bullion and Coin,Gold,G10YAUSM,20.0,$205.83,"$4,116.60"
5/1/2023,360 Coin Group DBA South Austin Coin Exchange,Gold,G15WAMLIBHR,6.0,"$2,315.00","$13,890.00"
1/12/2023,Upstate Coins,Gold,G1DUC,15.0,$210.78,"$3,161.70"
4/20/2023,Ohio Trading Inc. DBA Ohio Trading Coin & Jewelry,Gold,G1DUC,19.0,$233.50,"$4,436.50"
5/3/2023,Ohio Trading Inc. DBA Ohio Trading Coin & Jewelry,Gold,G1DUC,3.0,$237.30,$711.90
8/4/2023,"Precious Metal Sales, Inc.",Gold,G1DUC,1.0,$226.00,$226.00
9/26/2023,McKee Coins Inc.,Gold,G1DUC,2.0,$221.47,$442.94
5/9/2023,360 Coin Group DBA South Austin Coin Exchange,Gold,G2008BUFFPFC1.85,1.0,"$7,500.00","$7,500.00"
1/12/2023,Upstate Coins,Gold,G2014WJFKPF,1.0,"$1,497.53","$1,497.53"
1/12/2023,Upstate Coins,Gold,G2014WJFKPF,1.0,"$1,490.03","$1,490.03"
5/9/2023,360 Coin Group DBA South Austin Coin Exchange,Gold,G2014WJFKPF,2.0,"$2,100.00","$4,200.00"
8/22/2023,360 Coin Group DBA South Austin Coin Exchange,Gold,G2014WJFKPF,1.0,"$2,000.00","$2,000.00"
9/19/2023,360 Coin Group DBA South Austin Coin Exchange,Gold,G2014WJFKPF,2.0,"$1,575.00","$3,150.00"
1/13/2023,Dillon Gage Inc. of Dallas,Gold,G20FA,51.0,$365.28,"$18,629.28"
4/19/2023,Capstone Acquisitions,Gold,G20FA,14.0,$392.50,"$5,495.00"
4/4/2023,Capstone Acquisitions,Gold,G20FMIX,150.0,$396.30,"$59,445.00"
4/4/2023,Capstone Acquisitions,Gold,G20FMIX,45.0,$396.30,"$17,833.50"
4/19/2023,Capstone Acquisitions,Gold,G20FMIX,15.0,$392.50,"$5,887.50"
9/22/2023,NCII,Gold,G20FMIX,239.0,$359.58,"$85,939.62"
4/19/2023,Capstone Acquisitions,Gold,G20FN,9.0,$392.50,"$3,532.50"
1/10/2023,Duff's Fine Jewelry - Flower Mound,Gold,G20FR,1.0,$365.00,$365.00
1/20/2023,Gold Rush Mercantile & Trading,Gold,G20FR,5.0,$374.26,"$1,871.30"
2/28/2023,"The Bronze Look, LLC",Gold,G20FR,6.0,$353.00,"$2,118.00"
3/6/2023,Money Metals Exchange LLC,Gold,G20FR,22.0,$357.65,"$7,868.30"
3/10/2023,Money Metals Exchange LLC,Gold,G20FR,22.0,$0.00,$0.00
4/19/2023,Capstone Acquisitions,Gold,G20FR,10.0,$392.50,"$3,925.00"
9/22/2023,NCII,Gold,G20FR,190.0,$365.58,"$69,460.20"
1/4/2023,Capstone Acquisitions,Gold,G20FS,35.0,$360.60,"$12,621.00"
1/17/2023,Dillon Gage Inc. of Dallas,Gold,G20FS,93.0,$364.62,"$33,909.66"
3/6/2023,NCII,Gold,G20FS,168.0,$356.20,"$59,841.60"
3/20/2023,Capstone Acquisitions,Gold,G20FS,50.0,$388.10,"$19,405.00"
4/5/2023,Capstone Acquisitions,Gold,G20FS,15.0,$399.70,"$5,995.50"
4/13/2023,Capstone Acquisitions,Gold,G20FS,30.0,$404.90,"$12,147.00"
4/21/2023,Capstone Acquisitions,Gold,G20FS,40.0,$394.50,"$15,780.00"
6/29/2023,Dillon Gage Inc. of Dallas,Gold,G20FS,167.0,$364.50,"$60,871.50"
7/28/2023,NCII,Gold,G20FS,80.0,$371.50,"$29,720.00"
9/22/2023,NCII,Gold,G20FS,391.0,$365.58,"$142,941.78"
3/29/2023,Royal Gold & Silver Exchange,Gold,G4DUC,2.0,$885.00,"$1,770.00"
8/4/2023,"Precious Metal Sales, Inc.",Gold,G4DUC,4.0,$876.00,"$3,504.00"
8/7/2023,"Hyatt Coin & Gun Shop, Inc.",Gold,G4DUC,15.0,$872.00,"$13,080.00"
9/22/2023,NCII,Gold,G4DUC,100.0,$860.20,"$86,020.00"
1/5/2023,Upstate Coins,Gold,G5MC,17.0,$445.41,"$7,571.97"
1/13/2023,Vallejo Coin Exchange,Gold,G5MC,3.0,$482.00,"$1,446.00"
2/15/2023,Dillon Gage Inc. of Dallas,Gold,G5MC,53.0,$445.09,"$23,589.77"
