Date,Customer,Metal,Code,Quantity,Unit Price,Total Price
9/21/2021,Central Refining,Gold,G1000SHIL,25.0,$690.82,"$17,270.50"
5/28/2021,Dillon Gage Inc. of Dallas,Gold,G100COR,20.0,"$1,864.50","$37,290.00"
3/17/2021,APMEX Inc.,Gold,G100COR,1.0,"$1,724.76","$1,724.76"
4/19/2021,APMEX Inc.,Gold,G100COR,4.0,"$1,750.93","$7,003.72"
11/10/2021,Claudio Vallejo,Gold,G100COR,5.0,"$1,818.00","$9,090.00"
11/17/2021,Dillon Gage Inc. of Dallas,Gold,G100COR,4.0,"$1,828.07","$7,312.28"
1/25/2021,Claudio Vallejo,Gold,G100COR,7.0,"$1,826.38","$12,784.66"
1/15/2021,APMEX Inc.,Gold,G10GUILD,1.0,$358.26,$358.26
3/17/2021,APMEX Inc.,Gold,G10GUILD,2.0,$341.62,$683.24
6/24/2021,APMEX Inc.,Gold,G10GUILD,2.0,$352.53,$705.06
6/25/2021,Claudio Vallejo,Gold,G10GUILD,50.0,$351.00,"$17,550.00"
9/21/2021,Central Refining,Gold,G10GUILD,114.0,$344.35,"$39,255.90"
11/17/2021,Dillon Gage Inc. of Dallas,Gold,G10GUILD,50.0,$363.12,"$18,156.00"
9/14/2021,Pacifica Trading,Gold,G10KRON,115.0,$264.00,"$30,360.00"
8/25/2021,Minneapolis Gold & Silver,Gold,G10MC,29.0,$892.00,"$25,868.00"
1/4/2021,John Watson,Gold,G10MC,19.0,$942.54,"$17,908.26"
4/1/2021,Wilshire Coin Exchange/ WC3 Wholesale,Gold,G10MC,10.0,$856.51,"$8,565.10"
9/2/2021,Great Collections.com,Gold,G10MC,13.0,$910.00,"$11,830.00"
5/20/2021,Money Metals Exchange LLC,Gold,G10MC,4.0,$943.15,"$3,772.60"
8/11/2021,"Nieffenegger Company, LLC",Gold,G10MC,14.0,$872.60,"$12,216.40"
8/11/2021,APMEX Inc.,Gold,G10MC,3.0,$857.33,"$2,571.99"
10/1/2021,Money Metals Exchange LLC,Gold,G10MC,5.0,$869.75,"$4,348.75"
11/17/2021,Dillon Gage Inc. of Dallas,Gold,G10MC,8.0,$902.28,"$7,218.24"
9/28/2021,Flower Hill Collectables,Gold,G10MC,8.0,$805.00,"$6,440.00"
3/18/2021,Gleyzer International Inc,Gold,G10ROUB,1.0,$470.00,$470.00
5/25/2021,"A-Mark Precious Metals, Inc.",Gold,G1DUC,33.0,$210.33,"$6,940.89"
6/4/2021,"A-Mark Precious Metals, Inc.",Gold,G1DUC,63.0,$208.88,"$13,159.44"
3/10/2021,"A-Mark Precious Metals, Inc.",Gold,G1DUC,5.0,$190.17,$950.85
11/16/2021,"The Bronze Look, LLC",Gold,G20FA,2.0,$359.00,$718.00
1/28/2021,APMEX Inc.,Gold,G20FA,40.0,$353.27,"$14,130.80"
